11/24/2019 10:05:54 PM: api/Word/Get starts...
11/24/2019 10:07:14 PM: HomeController starts...
11/24/2019 10:07:14 PM: Home/Init starts...
11/24/2019 10:07:30 PM: api/Word/Get starts...
11/24/2019 10:08:57 PM: @@@@====MAIN====@@@@
11/24/2019 10:08:58 PM: Startup starts...
11/24/2019 10:08:58 PM: ConfigureServices starts...
11/24/2019 10:08:59 PM: Configure starts...
11/24/2019 10:08:59 PM: HomeController starts...
11/24/2019 10:08:59 PM: Home/Index starts...
11/24/2019 10:09:09 PM: api/User/Post starts...
11/24/2019 10:09:10 PM: HomeController starts...
11/24/2019 10:09:10 PM: Home/Init starts...
11/24/2019 10:09:20 PM: api/Word/Get starts...
11/24/2019 10:10:31 PM: @@@@====MAIN====@@@@
11/24/2019 10:10:32 PM: Startup starts...
11/24/2019 10:10:32 PM: ConfigureServices starts...
11/24/2019 10:10:33 PM: Configure starts...
11/24/2019 10:10:33 PM: HomeController starts...
11/24/2019 10:10:33 PM: Home/Index starts...
11/24/2019 10:11:10 PM: api/User/Post starts...
